Level	Others	RiPPs	NRPS	PKS	Terpene
f__Motilibacteraceae	0	0	0	0	0
f__Antricoccaceae	0	0	0	0	0
f__CADCTP01	0	0	0	0	0
f__CAJCIY01	0	0	0	0	0
f__Cryptosporangiaceae	0	0	0	0	0
f__Frankiaceae	0	0	0	0	0
f__Geodermatophilaceae	0	0	0	0	0
f__HKI-0501	0	0	0	0	0
f__JADGOU01	0	0	0	0	0
f__JADGOV01	0	0	0	0	0
f__JAFAQI01	0	0	0	0	0
f__Jatrophihabitantaceae	0	0	0	0	0
f__Micromonosporaceae	0	0	0	0	0
f__Mycobacteriaceae	56	31	199	83	50
f__Nakamurellaceae	0	1	1	1	0
f__Pseudonocardiaceae	0	0	0	0	0
f__QHCA01	0	0	0	0	0
f__QHCD01	0	0	0	0	0
f__QHCE01	0	0	0	0	0
f__SCTD01	8	0	5	10	6
f__AcAMD-5	0	0	0	0	1
f__CAIKAW01	0	0	0	0	0
f__CAIYMF01	0	0	0	0	0
f__FW305-bin1	0	0	0	0	0
f__GCA-2699445	0	0	0	0	0
f__Nanopelagicaceae	0	0	0	3	19
f__S36-B12	3	19	0	4	14
f__UBA10799	0	2	0	1	2
f__UBA12327	0	0	0	0	1
f__UBA5976	2	0	0	0	2
f__Nitriliruptoraceae	0	0	0	0	0
f__Actinopolymorphaceae	0	0	0	0	0
f__Kribbellaceae	0	0	0	0	0
f__Nocardioidaceae	13	1	16	1	3
f__Propionibacteriaceae	0	5	3	3	6
f__Sporichthyaceae	0	0	0	0	0
f__Carbonactinosporaceae	0	0	0	0	0
f__Catenulisporaceae	0	0	0	0	0
f__Streptomycetaceae	0	0	0	0	0
f__Streptosporangiaceae	8	6	14	8	10
f__WHST01	0	0	0	0	0
f__Aquicultoraceae	0	0	0	0	0
f__Geothermocultoraceae	0	0	0	0	0
f__Subteraquimicrobiaceae	0	0	0	0	0
f__UBA9087	0	0	0	0	0
f__SURF-47	0	0	0	0	0
f__JACQXZ01	0	0	0	0	0
f__Oleimmundimicrobiaceae	0	0	0	0	0
f__Atopobiaceae	1	0	0	0	0
f__CADBOM01	0	0	0	0	0
f__Coriobacteriaceae	0	0	0	0	0
f__Eggerthellaceae	0	0	0	0	0
f__QAMH01	0	0	0	0	0
f__RUG033	0	0	0	0	0
f__RUG844	0	0	0	0	0
f__UBA8131	0	0	0	0	0
f__UMGS124	0	0	0	0	0
f__D1FN1-002	0	0	0	0	0
f__JAAXUF01	0	0	0	0	0
f__JACRBU01	0	0	0	0	0
f__JAENZW01	0	0	0	0	0
f__Kmv31	0	0	0	0	0
f__PALSA-660	0	0	0	0	0
f__PHET01	0	0	0	0	0
f__SLCP01	0	0	0	0	0
f__UBA2279	0	0	0	0	0
f__UBA3086	0	0	0	0	0
f__UBA912	0	0	0	0	0
f__JAENWW01	0	0	0	0	0
f__WQUG01	0	0	0	0	0
f__WRKU01	0	0	0	0	0
f__Anoxymicrobiaceae	0	0	0	0	0
f__JACVIW01	0	0	0	0	0
f__Geothermincolaceae	0	0	0	0	0
f__RBG-13-55-18	1	0	0	0	0
f__Hakubanellaceae	0	0	0	0	0
f__Humimicrobiaceae	0	0	0	0	0
f__JAHJRV01	0	0	0	0	0
f__Rubrobacteraceae	3	1	2	2	6
f__BMS3ABIN01	0	0	0	0	0
f__F1-60-MAGs149	0	0	0	0	2
f__Gaiellaceae	3	8	1	0	5
f__SKUG01	0	0	0	0	0
f__Miltoncostaeaceae	0	0	0	0	0
f__RBG-16-64-13	1	0	0	0	1
f__70-9	30	6	9	15	4
f__JACPNS01	0	0	0	0	0
f__Solirubrobacteraceae	19	7	11	10	12
f__Thermoleophilaceae	1	0	0	2	1
f__UBA2241	0	0	0	0	0
f__AC-67	0	0	0	0	0
f__CADDZG01	0	0	0	0	0
f__WHSQ01	0	0	0	0	0
f__HRBIN12	0	0	0	0	0
f__JACQTL01	0	0	0	0	0
f__UBA4738	1	0	0	0	1
f__0-14-0-80-59-12	0	0	0	0	0
f__2-12-FULL-37-12	0	0	0	0	0
f__2-12-FULL-35-15	0	0	0	0	0
f__2013-40CM-41-45	0	0	0	0	0
f__JABDAW01	0	0	0	0	0
f__OLB10	2	1	3	2	1
f__B-17BO	21	2	3	8	10
f__JABDFU01	0	0	0	0	0
f__JACCXN01	0	0	0	0	0
f__JACMRI01	0	0	0	0	0
f__JACPRZ01	0	0	0	0	0
f__JAFLBG01	0	0	0	0	0
f__Palsa-948	0	2	1	3	0
f__Palsa-948_A	0	0	0	0	0
f__Palsa-965	0	0	0	0	0
f__SXHM01	0	0	0	0	0
f__UBA4408	0	0	0	0	0
f__4484-276	0	0	0	0	0
f__4572-128	0	0	0	0	0
f__Azobacteroidaceae	0	0	0	0	0
f__B18-G4	0	0	0	0	0
f__B39-G9	0	0	0	0	0
f__Bacteroidaceae	4	0	3	0	1
f__Barnesiellaceae	0	0	0	0	0
f__BM520	0	0	0	0	0
f__BM523	0	0	0	0	0
f__CAIWKO01	0	0	0	0	0
f__CAIXTV01	0	0	0	0	0
f__CAIXZF01	0	0	0	0	1
f__CAJPTX01	0	0	0	0	0
f__Cfx3-03	0	0	0	0	0
f__CG2-30-32-10	0	0	0	0	0
f__CHK158-818	0	0	0	0	0
f__Coprobacteraceae	0	0	0	0	0
f__DSWJ01	0	0	0	0	0
f__DTGW01	0	0	0	0	0
f__DTU049	0	0	0	0	0
f__Dysgonomonadaceae	5	4	0	5	2
f__F082	57	4	22	0	2
f__FEN-979	30	3	12	8	0
f__G3-4614	0	0	0	0	0
f__GCA-2711565	0	0	0	0	0
f__GCA-2748055	0	0	0	0	4
f__GWA2-32-17	0	0	0	0	0
f__GWE2-29-8	0	0	0	0	0
f__GWF2-33-38	0	0	0	0	0
f__GWF2-35-48	0	0	0	0	0
f__GWF2-38-335	0	0	0	0	0
f__JAADGE01	0	0	0	0	0
f__JAADJA01	0	0	0	0	0
f__JAAUTT01	0	0	0	0	0
f__JAAYJT01	0	0	0	0	0
f__JAAYUG01	0	0	0	0	0
f__JABHKC01	0	0	0	0	0
f__JACABE01	0	0	0	0	0
f__JAFGXI01	0	0	0	0	0
f__JAGNHN01	0	0	0	0	0
f__JAGODS01	0	0	0	0	0
f__JAGOPY01	0	0	0	0	0
f__JAHJDW01	0	0	0	0	0
f__Lentimicrobiaceae	0	0	12	0	6
f__M50B96	0	0	0	0	0
f__Marinifilaceae	0	0	0	0	2
f__Marinilabiliaceae	0	0	0	0	0
f__ML635J-15	0	0	0	0	0
f__Muribaculaceae	0	0	0	0	0
f__NBLH01	0	0	0	0	0
f__P3	0	0	0	0	0
f__Paludibacteraceae	0	12	10	14	6
f__Porphyromonadaceae	0	0	0	0	0
f__Prolixibacteraceae	4	8	5	7	13
f__PUMT01	0	0	0	0	0
f__PWNQ01	0	0	0	0	0
f__PXBB01	0	0	0	0	0
f__Rikenellaceae	0	0	0	0	0
f__S143-32	0	0	0	0	0
f__S143-33	0	0	0	0	0
f__Salinivirgaceae	0	0	0	0	0
f__SM23-62	0	0	0	0	0
f__SZUA-534	0	0	1	0	0
f__Tannerellaceae	6	4	0	3	3
f__Tenuifilaceae	0	0	0	0	0
f__TTA-H9	1	0	3	0	1
f__UBA10428	0	0	0	0	0
f__UBA11471	0	0	0	0	0
f__UBA12077	6	8	2	0	2
f__UBA12170	0	0	0	0	0
f__UBA12481	0	1	2	0	1
f__UBA1402	0	1	0	1	2
f__UBA1556	0	0	0	0	0
f__UBA1715	0	0	0	0	0
f__UBA3663	0	0	0	0	0
f__UBA3824	0	0	0	0	0
f__UBA4181	0	0	0	0	0
f__UBA4417	0	0	0	0	0
f__UBA5342	0	0	0	0	0
f__UBA6013	0	0	0	0	0
f__UBA6680	0	0	0	0	0
f__UBA7332	0	0	1	0	1
f__UBA7960	0	0	0	0	0
f__UBA932	4	0	2	0	1
f__VadinHA17	2	0	2	1	7
f__W3P20-009	0	0	0	0	0
f__WCHB1-69	0	0	0	0	0
f__Williamwhitmaniaceae	0	0	0	0	0
f__WRGA01	0	0	0	0	0
f__WRLA01	0	0	0	0	0
f__ZOR0009	0	0	0	0	0
f__CAILMK01	0	0	0	0	2
f__JAAYUY01	0	0	1	0	1
f__JACPUW01	0	0	0	0	0
f__BACL12	0	0	0	3	4
f__CAIODY01	0	0	0	0	0
f__CAIOSU01	0	4	0	0	4
f__Chitinophagaceae	105	73	57	53	118
f__JABDMM01	0	0	0	0	0
f__JADIYW01	0	0	0	0	0
f__JADJOU01	0	0	0	0	0
f__LD1	5	0	0	2	1
f__REEL01	0	0	0	0	0
f__S012-47	0	0	0	0	0
f__Saprospiraceae	9	4	9	11	71
f__SW-11-45-7	0	0	0	0	0
f__UBA10324	0	0	0	0	0
f__UBA2359	0	0	0	0	0
f__UBA8649	0	0	0	0	4
f__172606-1	1	0	11	6	2
f__Amoebophilaceae	0	0	0	0	0
f__Bernardetiaceae	0	0	0	1	2
f__Catalimonadaceae	0	0	0	2	1
f__CCMP332	0	0	0	0	0
f__Cyclobacteriaceae	23	16	20	68	123
f__Cytophagaceae	0	0	0	0	0
f__Flammeovirgaceae	0	0	0	2	3
f__Hymenobacteraceae	1	5	1	2	4
f__MED-G16	0	0	0	0	0
f__Microscillaceae	0	0	0	1	2
f__Spirosomaceae	3	2	2	8	22
f__Thermonemataceae	0	0	0	0	0
f__UBA9547	0	0	0	0	0
f__WTJX01	0	0	0	0	1
f__BACL11	0	0	0	0	55
