	Comparison	p.Value	BGC
133	Freshwater-Marine	0.801120399984473	microviridin
233	Terrestrial-Marine	0.736026721962663	microviridin
433	Terrestrial-Freshwater	0.0137543924534548	microviridin
134	Freshwater-Marine	0.643285529690516	sactipeptide
234	Terrestrial-Marine	0.998885963336058	sactipeptide
434	Terrestrial-Freshwater	0.0472613829322465	sactipeptide
135	Freshwater-Marine	0.992314273827246	proteusin
235	Terrestrial-Marine	0.998371793613571	proteusin
435	Terrestrial-Freshwater	0.987683481654065	proteusin
136	Freshwater-Marine	0.920501635714355	transAT-PKS
236	Terrestrial-Marine	0.267610296744809	transAT-PKS
436	Terrestrial-Freshwater	0.288218374100735	transAT-PKS
