	parent	node	label	nodeClass	nodeDepth	numGroup
1256	2665	1256	f__DRWM01	OTU	5	NoUse
1257	2665	1257	f__JAAZOP01	OTU	5	NoUse
1258	2666	1258	f__GCA-2747355	OTU	5	NoUse
1259	2667	1259	f__Haliangiaceae	OTU	5	10-100
1260	2667	1260	f__J016	OTU	5	<10
1261	2667	1261	f__SHYZ01	OTU	5	NoUse
1262	2668	1262	f__HGW-17	OTU	5	NoUse
1263	2668	1263	f__SLPX01	OTU	5	NoUse
1264	2669	1264	f__JAAYKL01	OTU	5	NoUse
1265	2670	1265	f__JACPQR01	OTU	5	NoUse
1266	2671	1266	f__JACRCY01	OTU	5	NoUse
1267	2672	1267	f__Nannocystaceae	OTU	5	<10
1268	2673	1268	f__Fen-1088	OTU	5	<10
1269	2674	1269	f__JAEUJZ01	OTU	5	NoUse
1270	2674	1270	f__Palsa-1104	OTU	5	<10
1271	2675	1271	f__Ga0077539	OTU	5	10-100
1272	2675	1272	f__GCA-016699535	OTU	5	NoUse
1273	2675	1273	f__JADJMO01	OTU	5	NoUse
1274	2675	1274	f__JADJQN01	OTU	5	NoUse
1275	2675	1275	f__JAFGIB01	OTU	5	NoUse
1276	2675	1276	f__Polyangiaceae	OTU	5	10-100
1277	2675	1277	f__Sandaracinaceae	OTU	5	NoUse
1278	2675	1278	f__SG8-38	OTU	5	10-100
1279	2675	1279	f__SLQV01	OTU	5	NoUse
1280	2676	1280	f__JACRCP01	OTU	5	NoUse
1281	2676	1281	f__SpSt-1050	OTU	5	NoUse
1282	2677	1282	f__SURF-8	OTU	5	<10
1283	2678	1283	f__UBA4151	OTU	5	<10
1284	2679	1284	f__UBA6777	OTU	5	NoUse
1285	2680	1285	f__GCA-2721815	OTU	5	<10
1286	2680	1286	f__JABDBI01	OTU	5	NoUse
1287	2680	1287	f__VGSZ01	OTU	5	NoUse
1288	2681	1288	f__CAITUV01	OTU	5	NoUse
1289	2681	1289	f__CAIXZC01	OTU	5	NoUse
1290	2682	1290	f__DTJE01	OTU	5	NoUse
1291	2682	1291	f__S145-11	OTU	5	NoUse
1292	2683	1292	f__GCA-2863065	OTU	5	NoUse
1293	2684	1293	f__JABWCM01	OTU	5	NoUse
1294	2685	1294	f__PHBI01	OTU	5	<10
1295	2686	1295	f__PWKZ01	OTU	5	NoUse
1296	2687	1296	f__UBA3505	OTU	5	NoUse
1297	2688	1297	f__UBA9042	OTU	5	<10
1298	2689	1298	f__WYAZ01	OTU	5	<10
1299	2690	1299	f__JAEEML01	OTU	5	NoUse
1300	2691	1300	f__JABJBS01	OTU	5	NoUse
1301	2691	1301	f__JAFGEK01	OTU	5	NoUse
1302	2691	1302	f__SYDY01	OTU	5	NoUse
1303	2691	1303	f__XYA12-FULL-58-9	OTU	5	NoUse
1304	2692	1304	f__B129-G9	OTU	5	NoUse
1305	2693	1305	f__B143-G9	OTU	5	NoUse
1306	2694	1306	f__B15-G4	OTU	5	<10
1307	2694	1307	f__JADJEK01	OTU	5	NoUse
1308	2694	1308	f__SIAN01	OTU	5	NoUse
1309	2695	1309	f__2-02-FULL-50-16-A	OTU	5	NoUse
1310	2695	1310	f__Brocadiaceae	OTU	5	NoUse
1311	2695	1311	f__JACQHT01	OTU	5	NoUse
1312	2695	1312	f__Scalinduaceae	OTU	5	<10
1313	2696	1313	f__CAIUPP01	OTU	5	<10
1314	2697	1314	f__JAADGH01	OTU	5	NoUse
1315	2698	1315	f__SM23-32	OTU	5	NoUse
1316	2699	1316	f__DG-23	OTU	5	NoUse
1317	2700	1317	f__SLPQ01	OTU	5	NoUse
1318	2701	1318	f__DTLF01	OTU	5	NoUse
1319	2702	1319	f__E44-bin39	OTU	5	NoUse
1320	2703	1320	f__CAIWVZ01	OTU	5	NoUse
1321	2703	1321	f__DRQF01	OTU	5	NoUse
1322	2703	1322	f__GCA-002687715	OTU	5	<10
1323	2704	1323	f__J058	OTU	5	NoUse
1324	2704	1324	f__JACQDU01	OTU	5	NoUse
1325	2705	1325	f__J103	OTU	5	NoUse
1326	2706	1326	f__J132	OTU	5	NoUse
1327	2707	1327	f__JABWCH01	OTU	5	NoUse
1328	2707	1328	f__SRT547	OTU	5	NoUse
1329	2708	1329	f__JACOTG01	OTU	5	NoUse
1330	2709	1330	f__JACQVV01	OTU	5	NoUse
1331	2710	1331	f__JACQVX01	OTU	5	NoUse
1332	2711	1332	f__JAFGQW01	OTU	5	NoUse
1333	2712	1333	f__DSWA01	OTU	5	NoUse
1334	2713	1334	f__JACQXL01	OTU	5	NoUse
1335	2713	1335	f__JACQZI01	OTU	5	NoUse
1336	2713	1336	f__JACRIJ01	OTU	5	NoUse
1337	2714	1337	f__JACPRB01	OTU	5	NoUse
1338	2714	1338	f__MHYJ01	OTU	5	NoUse
1339	2714	1339	f__SBBU01	OTU	5	NoUse
1340	2715	1340	f__JACPTZ01	OTU	5	NoUse
1341	2715	1341	f__JACPWG01	OTU	5	NoUse
1342	2715	1342	f__WSZJ01	OTU	5	NoUse
1343	2716	1343	f__FEN-1346	OTU	5	NoUse
1344	2716	1344	f__JAACEH01	OTU	5	NoUse
1345	2717	1345	f__JAACET01	OTU	5	NoUse
1346	2718	1346	f__JAAYCJ01	OTU	5	NoUse
1347	2719	1347	f__Phycisphaeraceae	OTU	5	10-100
1348	2719	1348	f__SM1A02	OTU	5	100-500
1349	2719	1349	f__UBA1924	OTU	5	NoUse
1350	2719	1350	f__UBA5793	OTU	5	NoUse
1351	2719	1351	f__Zrk34	OTU	5	NoUse
1352	2720	1352	f__Anaerohalosphaeraceae	OTU	5	NoUse
1353	2720	1353	f__GWF2-50-10	OTU	5	NoUse
