ID	OTUcluster
Freshwater_OTU_0337	GC_500
Freshwater_OTU_0338	GC_244
Freshwater_OTU_0339	GC_14
Freshwater_OTU_0340	GC_327
Freshwater_OTU_0341	GC_233
Freshwater_OTU_0342	GC_194
Freshwater_OTU_0343	GC_170
Freshwater_OTU_0344	GC_413
Freshwater_OTU_0345	GC_117
Freshwater_OTU_0346	GC_89
Freshwater_OTU_0347	GC_58
Freshwater_OTU_0348	GC_183
Freshwater_OTU_0350	GC_392
Freshwater_OTU_0351	GC_170
Freshwater_OTU_0352	GC_102
Freshwater_OTU_0353	GC_248
Freshwater_OTU_0354	GC_69
Freshwater_OTU_0355	GC_104
Freshwater_OTU_0357	GC_304
Freshwater_OTU_0359	GC_58
Freshwater_OTU_0361	GC_206
Freshwater_OTU_0365	GC_230
Freshwater_OTU_0372	GC_46
Freshwater_OTU_0388	GC_248
Freshwater_OTU_0395	GC_206
Freshwater_OTU_0402	GC_37
Freshwater_OTU_0403	GC_170
Freshwater_OTU_0404	GC_127
Freshwater_OTU_0406	GC_93
Freshwater_OTU_0408	GC_170
Freshwater_OTU_0409	GC_32
Freshwater_OTU_0410	GC_117
Freshwater_OTU_0411	GC_187
Freshwater_OTU_0412	GC_19
Freshwater_OTU_0415	GC_32
Freshwater_OTU_0416	GC_248
Freshwater_OTU_0417	GC_170
Freshwater_OTU_0418	GC_117
Freshwater_OTU_0419	GC_301
Freshwater_OTU_0421	GC_24
Freshwater_OTU_0422	GC_69
Freshwater_OTU_0423	GC_170
Freshwater_OTU_0424	GC_52
Freshwater_OTU_0425	GC_206
Freshwater_OTU_0426	GC_11
Freshwater_OTU_0427	GC_170
Freshwater_OTU_0428	GC_298
Freshwater_OTU_0429	GC_126
Freshwater_OTU_0431	GC_170
Freshwater_OTU_0432	GC_176
Freshwater_OTU_0433	GC_69
Freshwater_OTU_0434	GC_105
Freshwater_OTU_0435	GC_170
Freshwater_OTU_0436	GC_170
Freshwater_OTU_0437	GC_501
Freshwater_OTU_0438	GC_170
Freshwater_OTU_0439	GC_170
Freshwater_OTU_0440	GC_117
Freshwater_OTU_0441	GC_170
Freshwater_OTU_0443	GC_66
Freshwater_OTU_0444	GC_25
Freshwater_OTU_0445	GC_14
Freshwater_OTU_0446	GC_448
Freshwater_OTU_0447	GC_111
Freshwater_OTU_0448	GC_127
Freshwater_OTU_0449	GC_462
Freshwater_OTU_0450	GC_38
Freshwater_OTU_0451	GC_123
Freshwater_OTU_0452	GC_13
Freshwater_OTU_0453	GC_184
Freshwater_OTU_0455	GC_88
Freshwater_OTU_0457	GC_58
Freshwater_OTU_0459	GC_248
Freshwater_OTU_0460	GC_8
Freshwater_OTU_0461	GC_441
Freshwater_OTU_0474	GC_170
Freshwater_OTU_0501	GC_170
Freshwater_OTU_0502	GC_96
Freshwater_OTU_0503	GC_171
Freshwater_OTU_0504	GC_233
Freshwater_OTU_0505	GC_170
Freshwater_OTU_0506	GC_224
Freshwater_OTU_0507	GC_156
Freshwater_OTU_0508	GC_61
Freshwater_OTU_0509	GC_195
Freshwater_OTU_0510	GC_170
Freshwater_OTU_0511	GC_9
Freshwater_OTU_0512	GC_206
Freshwater_OTU_0514	GC_233
Freshwater_OTU_0515	GC_170
Freshwater_OTU_0516	GC_298
Freshwater_OTU_0517	GC_233
Freshwater_OTU_0518	GC_429
Freshwater_OTU_0520	GC_18
Freshwater_OTU_0521	GC_193
Freshwater_OTU_0522	GC_170
Freshwater_OTU_0523	GC_170
Freshwater_OTU_0525	GC_170
Freshwater_OTU_0526	GC_58
Freshwater_OTU_0528	GC_264
Freshwater_OTU_0533	GC_168
Freshwater_OTU_0534	GC_117
Freshwater_OTU_0536	GC_170
Freshwater_OTU_0537	GC_170
Freshwater_OTU_0538	GC_170
Freshwater_OTU_0539	GC_285
Freshwater_OTU_0540	GC_170
Freshwater_OTU_0541	GC_117
Freshwater_OTU_0542	GC_0
Freshwater_OTU_0543	GC_58
Freshwater_OTU_0544	GC_10
Freshwater_OTU_0545	GC_127
Freshwater_OTU_0546	GC_254
Freshwater_OTU_0547	GC_24
Freshwater_OTU_0548	GC_69
Freshwater_OTU_0549	GC_19
Freshwater_OTU_0550	GC_170
Freshwater_OTU_0551	GC_2
Freshwater_OTU_0553	GC_436
Freshwater_OTU_0554	GC_203
Freshwater_OTU_0555	GC_36
Freshwater_OTU_0557	GC_233
Freshwater_OTU_0558	GC_504
Freshwater_OTU_0559	GC_125
Freshwater_OTU_0560	GC_378
Freshwater_OTU_0561	GC_264
Freshwater_OTU_0562	GC_170
Freshwater_OTU_0563	GC_69
Freshwater_OTU_0565	GC_378
Freshwater_OTU_0566	GC_233
Freshwater_OTU_0601	GC_414
Freshwater_OTU_0602	GC_146
Freshwater_OTU_0603	GC_61
Freshwater_OTU_0604	GC_413
Freshwater_OTU_0605	GC_91
Freshwater_OTU_0606	GC_170
Freshwater_OTU_0607	GC_207
Freshwater_OTU_0608	GC_170
Freshwater_OTU_0609	GC_170
Freshwater_OTU_0610	GC_31
Freshwater_OTU_0611	GC_170
Freshwater_OTU_0612	GC_117
Freshwater_OTU_0613	GC_233
Freshwater_OTU_0615	GC_144
Freshwater_OTU_0616	GC_7
Freshwater_OTU_0617	GC_69
Freshwater_OTU_0619	GC_475
Freshwater_OTU_0620	GC_100
Freshwater_OTU_0621	GC_127
Freshwater_OTU_0622	GC_299
Freshwater_OTU_0623	GC_32
Freshwater_OTU_0624	GC_125
Freshwater_OTU_0625	GC_170
Freshwater_OTU_0626	GC_137
Freshwater_OTU_0627	GC_170
Freshwater_OTU_0628	GC_170
Freshwater_OTU_0630	GC_170
Freshwater_OTU_0631	GC_170
Freshwater_OTU_0633	GC_130
Freshwater_OTU_0634	GC_170
Freshwater_OTU_0635	GC_170
Freshwater_OTU_0636	GC_32
Freshwater_OTU_0638	GC_69
Freshwater_OTU_0639	GC_127
Freshwater_OTU_0640	GC_111
Freshwater_OTU_0641	GC_170
Freshwater_OTU_0642	GC_146
Freshwater_OTU_0643	GC_22
Freshwater_OTU_0644	GC_58
Freshwater_OTU_0645	GC_117
Freshwater_OTU_0646	GC_378
Freshwater_OTU_0648	GC_206
Freshwater_OTU_0649	GC_58
Freshwater_OTU_0650	GC_148
Freshwater_OTU_0651	GC_45
Freshwater_OTU_0653	GC_170
Freshwater_OTU_0654	GC_329
Freshwater_OTU_0655	GC_183
Freshwater_OTU_0656	GC_170
Freshwater_OTU_0657	GC_170
Freshwater_OTU_0658	GC_170
Freshwater_OTU_0660	GC_102
Freshwater_OTU_0661	GC_230
Freshwater_OTU_0662	GC_130
Freshwater_OTU_0663	GC_242
Freshwater_OTU_0664	GC_64
Freshwater_OTU_0665	GC_117
Freshwater_OTU_0666	GC_4
Freshwater_OTU_0702	GC_381
Freshwater_OTU_0703	GC_159
Freshwater_OTU_0706	GC_170
Freshwater_OTU_0707	GC_170
Freshwater_OTU_0708	GC_170
Freshwater_OTU_0709	GC_54
Freshwater_OTU_0710	GC_170
Freshwater_OTU_0711	GC_170
Freshwater_OTU_0713	GC_170
Freshwater_OTU_0714	GC_74
Freshwater_OTU_0720	GC_127
Freshwater_OTU_0721	GC_32
Freshwater_OTU_0722	GC_32
Freshwater_OTU_0726	GC_233
Freshwater_OTU_0728	GC_413
Freshwater_OTU_0729	GC_170
Freshwater_OTU_0730	GC_117
Freshwater_OTU_0731	GC_22
Freshwater_OTU_0732	GC_35
Freshwater_OTU_0733	GC_19
Freshwater_OTU_0734	GC_170
Freshwater_OTU_0735	GC_170
Freshwater_OTU_0736	GC_170
Freshwater_OTU_0737	GC_170
Freshwater_OTU_0738	GC_9
Freshwater_OTU_0739	GC_254
Freshwater_OTU_0740	GC_159
Freshwater_OTU_0741	GC_176
Freshwater_OTU_0742	GC_233
Freshwater_OTU_0743	GC_170
Freshwater_OTU_0744	GC_244
Freshwater_OTU_0745	GC_141
Freshwater_OTU_0746	GC_117
Freshwater_OTU_0747	GC_148
Freshwater_OTU_0748	GC_233
Freshwater_OTU_0749	GC_233
Freshwater_OTU_0750	GC_99
Freshwater_OTU_0751	GC_225
Freshwater_OTU_0752	GC_233
Freshwater_OTU_0753	GC_388
Freshwater_OTU_0754	GC_25
Freshwater_OTU_0755	GC_170
Freshwater_OTU_0756	GC_92
Freshwater_OTU_0757	GC_99
Freshwater_OTU_0758	GC_92
Freshwater_OTU_0759	GC_170
Freshwater_OTU_0760	GC_170
Freshwater_OTU_0761	GC_204
Freshwater_OTU_0762	GC_225
Freshwater_OTU_0763	GC_419
Freshwater_OTU_0764	GC_170
Freshwater_OTU_0765	GC_170
Freshwater_OTU_0766	GC_105
Freshwater_OTU_0767	GC_240
Freshwater_OTU_0768	GC_4
Freshwater_OTU_0769	GC_437
Freshwater_OTU_0770	GC_298
Freshwater_OTU_0787	GC_102
Freshwater_OTU_0801	GC_170
Freshwater_OTU_0802	GC_170
Freshwater_OTU_0803	GC_11
Freshwater_OTU_0804	GC_170
Freshwater_OTU_0805	GC_254
Freshwater_OTU_0806	GC_233
Freshwater_OTU_0807	GC_256
Freshwater_OTU_0808	GC_170
Freshwater_OTU_0809	GC_456
Freshwater_OTU_0810	GC_170
Freshwater_OTU_0811	GC_79
Freshwater_OTU_0812	GC_88
Freshwater_OTU_0813	GC_256
Freshwater_OTU_0814	GC_69
Freshwater_OTU_0816	GC_170
Freshwater_OTU_0817	GC_199
Freshwater_OTU_0820	GC_170
Freshwater_OTU_0821	GC_60
Freshwater_OTU_0823	GC_170
Freshwater_OTU_0825	GC_170
Freshwater_OTU_0826	GC_79
Freshwater_OTU_0832	GC_137
Freshwater_OTU_0833	GC_201
Freshwater_OTU_0834	GC_127
Freshwater_OTU_0835	GC_299
Freshwater_OTU_0836	GC_170
Freshwater_OTU_0837	GC_218
Freshwater_OTU_0838	GC_353
Freshwater_OTU_0840	GC_7
Freshwater_OTU_0841	GC_170
Freshwater_OTU_0842	GC_223
Freshwater_OTU_0843	GC_64
Freshwater_OTU_0844	GC_117
Freshwater_OTU_0845	GC_419
Freshwater_OTU_0846	GC_61
Freshwater_OTU_0847	GC_285
Freshwater_OTU_0848	GC_170
Freshwater_OTU_0849	GC_69
Freshwater_OTU_0850	GC_413
Freshwater_OTU_0851	GC_170
Freshwater_OTU_0852	GC_22
Freshwater_OTU_0853	GC_203
Freshwater_OTU_0854	GC_170
Freshwater_OTU_0855	GC_69
Freshwater_OTU_0856	GC_117
