ID	niches
3300013138_27	Freshwater
anoxic_mOTU_1309	Freshwater
3300028571_21	Freshwater
anoxic_mOTU_0454	Freshwater
3300017532_32	Freshwater
anoxic_mOTU_0994	Freshwater
anoxic_mOTU_2177	Freshwater
3300017522_14	Freshwater
3300017532_30	Freshwater
anoxic_mOTU_0219	Freshwater
anoxic_mOTU_1127	Freshwater
anoxic_mOTU_1426	Freshwater
3300025376_1	Freshwater
3300025447_5	Freshwater
3300025476_4	Freshwater
anoxic_mOTU_0085	Freshwater
anoxic_mOTU_2145	Freshwater
anoxic_mOTU_2256	Freshwater
3300014208_22	Freshwater
3300021424_38	Freshwater
3300027782_15	Freshwater
anoxic_mOTU_2660	Freshwater
3300028553_26	Freshwater
3300020192_29	Freshwater
3300020195_26	Freshwater
3300020201_33	Freshwater
anoxic_mOTU_3049	Freshwater
3300028569_39	Freshwater
3300028571_32	Freshwater
3300010160_50	Freshwater
3300020196_59	Freshwater
3300027896_32	Freshwater
3300000230_14	Freshwater
3300000232_1	Freshwater
3300029821_27	Freshwater
anoxic_mOTU_0068	Freshwater
3300013123_43	Freshwater
anoxic_mOTU_0987	Freshwater
3300024515_4	Freshwater
3300027739_8	Freshwater
3300013093_14	Freshwater
3300013094_18	Freshwater
3300013094_12	Freshwater
anoxic_mOTU_2195	Freshwater
3300013126_49	Freshwater
3300017451_6	Freshwater
3300017522_16	Freshwater
anoxic_mOTU_3098	Freshwater
3300006192_16	Freshwater
3300020578_68	Freshwater
3300021093_61	Freshwater
3300021376_62	Freshwater
3300027819_86	Freshwater
3300007519_95	Freshwater
3300027832_95	Freshwater
anoxic_mOTU_0560	Freshwater
3300014656_9	Freshwater
3300029821_8	Freshwater
3300000227_4	Freshwater
anoxic_mOTU_0648	Freshwater
anoxic_mOTU_1727	Freshwater
anoxic_mOTU_0662	Freshwater
anoxic_mOTU_1393	Freshwater
anoxic_mOTU_2237	Freshwater
3300022752_43	Freshwater
anoxic_mOTU_0550	Freshwater
3300013136_27	Freshwater
3300027792_1	Freshwater
anoxic_mOTU_0685	Freshwater
anoxic_mOTU_1620	Freshwater
anoxic_mOTU_0413	Freshwater
